,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
0,Australian Open,Adrian Mannarino,5,10,15,33.33
1,Australian Open,Adrian Voinea,6,4,10,60.0
2,Australian Open,Agustin Calleri,4,9,13,30.769999999999996
3,Australian Open,Albert Costa,7,5,12,58.330000000000005
4,Australian Open,Albert Montanes,4,13,17,23.53
5,Australian Open,Albert Portas,2,5,7,28.57
6,Australian Open,Albert Ramos,3,7,10,30.0
7,Australian Open,Alberto Martin,6,8,14,42.86
8,Australian Open,Alejandro Falla,7,7,14,50.0
10,Australian Open,Alex Bogomolov Jr,2,6,8,25.0
12,Australian Open,Alex Calatrava,3,3,6,50.0
13,Australian Open,Alex Corretja,2,4,6,33.33
14,Australian Open,Alex De Minaur,3,3,6,50.0
19,Australian Open,Alexander Zverev,7,4,11,63.63999999999999
20,Australian Open,Alexandr Dolgopolov,11,8,19,57.89
24,Australian Open,Amer Delic,5,4,9,55.559999999999995
26,Australian Open,Andre Agassi,30,2,32,93.75
31,Australian Open,Andreas Seppi,20,14,34,58.81999999999999
32,Australian Open,Andreas Vinciguerra,8,4,12,66.67
34,Australian Open,Andrei Pavel,8,8,16,50.0
35,Australian Open,Andrew Ilie,5,4,9,55.559999999999995
37,Australian Open,Andrey Golubev,2,6,8,25.0
38,Australian Open,Andrey Kuznetsov,5,4,9,55.559999999999995
39,Australian Open,Andrey Rublev,3,3,6,50.0
40,Australian Open,Andy Murray,48,13,61,78.69
41,Australian Open,Andy Roddick,38,11,49,77.55
43,Australian Open,Antony Dupuis,2,5,7,28.57
44,Australian Open,Arnaud Clement,12,11,23,52.17
48,Australian Open,Benjamin Becker,5,9,14,35.709999999999994
49,Australian Open,Benoit Paire,5,8,13,38.46
50,Australian Open,Bernard Tomic,17,10,27,62.96000000000001
51,Australian Open,Bjorn Phau,2,8,10,20.0
52,Australian Open,Blaz Kavcic,5,7,12,41.67
54,Australian Open,Bobby Reynolds,2,5,7,28.57
55,Australian Open,Bohdan Ulihrach,3,4,7,42.86
57,Australian Open,Borna Coric,3,5,8,37.5
62,Australian Open,Carlos Berlocq,3,8,11,27.27
63,Australian Open,Carlos Moya,6,9,15,40.0
65,Australian Open,Cecil Mamiit,1,5,6,16.669999999999998
67,Australian Open,Chris Guccione,2,6,8,25.0
68,Australian Open,Chris Woodruff,6,2,8,75.0
69,Australian Open,Christophe Rochus,8,10,18,44.440000000000005
70,Australian Open,Cyril Saulnier,1,5,6,16.669999999999998
71,Australian Open,Damir Dzumhur,5,5,10,50.0
73,Australian Open,Daniel Brands,2,5,7,28.57
74,Australian Open,Daniel Evans,4,3,7,57.14
75,Australian Open,Daniel Gimeno Traver,1,7,8,12.5
78,Australian Open,Daniil Medvedev,4,3,7,57.14
79,Australian Open,David Ferrer,41,16,57,71.93
80,Australian Open,David Goffin,11,6,17,64.71000000000001
81,Australian Open,David Nalbandian,26,10,36,72.22
83,Australian Open,David Sanchez,2,5,7,28.57
84,Australian Open,Davide Sanguinetti,1,7,8,12.5
85,Australian Open,Denis Gremelmayr,3,4,7,42.86
86,Australian Open,Denis Istomin,11,13,24,45.83
