,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
1,French Open,Adrian Mannarino,3,11,14,21.43
4,French Open,Agustin Calleri,3,8,11,27.27
5,French Open,Albert Costa,18,5,23,78.25999999999999
6,French Open,Albert Montanes,16,14,30,53.33
7,French Open,Albert Portas,5,6,11,45.45
8,French Open,Albert Ramos,10,9,19,52.629999999999995
9,French Open,Alberto Martin,5,8,13,38.46
10,French Open,Alejandro Falla,7,10,17,41.18
13,French Open,Alex Calatrava,2,4,6,33.33
14,French Open,Alex Corretja,17,5,22,77.27000000000001
18,French Open,Alexander Zverev,10,4,14,71.43
19,French Open,Alexandr Dolgopolov,6,7,13,46.150000000000006
21,French Open,Aljaz Bedene,3,6,9,33.33
23,French Open,Andre Agassi,13,6,19,68.42
26,French Open,Andreas Beck,2,5,7,28.57
27,French Open,Andreas Haider Maurer,2,6,8,25.0
28,French Open,Andreas Seppi,11,14,25,44.0
31,French Open,Andrei Pavel,5,7,12,41.67
35,French Open,Andrey Golubev,1,5,6,16.669999999999998
36,French Open,Andrey Kuznetsov,3,5,8,37.5
37,French Open,Andy Murray,39,10,49,79.59
38,French Open,Andy Roddick,9,10,19,47.370000000000005
41,French Open,Antony Dupuis,2,6,8,25.0
42,French Open,Arnaud Clement,10,12,22,45.45
43,French Open,Arnaud Di Pasquale,3,4,7,42.86
44,French Open,Attila Savolt,4,3,7,57.14
46,French Open,Benjamin Becker,2,7,9,22.220000000000002
48,French Open,Benoit Paire,11,10,21,52.38
49,French Open,Bernard Tomic,3,10,13,23.080000000000002
51,French Open,Blaz Kavcic,4,5,9,44.440000000000005
53,French Open,Bohdan Ulihrach,4,5,9,44.440000000000005
54,French Open,Borna Coric,9,5,14,64.29
57,French Open,Carlos Berlocq,5,10,15,33.33
58,French Open,Carlos Moya,20,9,29,68.97
62,French Open,Cedric Pioline,4,3,7,57.14
67,French Open,Christophe Rochus,5,9,14,35.709999999999994
69,French Open,Damir Dzumhur,4,6,10,40.0
71,French Open,Daniel Gimeno Traver,4,8,12,33.33
72,French Open,David Ferrer,44,16,60,73.33
73,French Open,David Goffin,16,8,24,66.67
75,French Open,David Nalbandian,20,8,28,71.43
76,French Open,David Sanchez,5,5,10,50.0
77,French Open,Davide Sanguinetti,3,6,9,33.33
78,French Open,Denis Istomin,6,10,16,37.5
83,French Open,Diego Sebastian Schwartzman,9,6,15,60.0
85,French Open,Dmitry Tursunov,10,11,21,47.620000000000005
86,French Open,Dominic Thiem,24,6,30,80.0
87,French Open,Dominik Hrbaty,6,9,15,40.0
88,French Open,Donald Young,2,6,8,25.0
89,French Open,Dudi Sela,2,9,11,18.18
90,French Open,Dusan Lajovic,8,6,14,57.14
92,French Open,Edouard Roger Vasselin,5,7,12,41.67
93,French Open,Eduardo Schwank,4,4,8,50.0
96,French Open,Ernests Gulbis,17,13,30,56.67
99,French Open,Fabio Fognini,21,11,32,65.62
100,French Open,Fabrice Santoro,9,10,19,47.370000000000005
103,French Open,Federico Delbonis,3,7,10,30.0
104,French Open,Feliciano Lopez,12,19,31,38.71
105,French Open,Felix Mantilla,6,5,11,54.55
106,French Open,Fernando Gonzalez,20,10,30,66.67
107,French Open,Fernando Meligeni,4,3,7,57.14
108,French Open,Fernando Verdasco,32,16,48,66.67
109,French Open,Fernando Vicente,10,8,18,55.559999999999995
111,French Open,Filippo Volandri,6,9,15,40.0
113,French Open,Flavio Saretta,6,5,11,54.55
114,French Open,Florent Serra,7,10,17,41.18
