,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
0,US Open,Adrian Mannarino,8,9,17,47.06
3,US Open,Agustin Calleri,6,8,14,42.86
4,US Open,Albert Costa,6,6,12,50.0
5,US Open,Albert Montanes,4,13,17,23.53
6,US Open,Albert Portas,2,4,6,33.33
7,US Open,Albert Ramos,3,9,12,25.0
8,US Open,Alberto Martin,4,8,12,33.33
9,US Open,Alejandro Falla,2,6,8,25.0
14,US Open,Alex Bogomolov Jr,3,8,11,27.27
16,US Open,Alex Corretja,6,5,11,54.55
17,US Open,Alex De Minaur,5,3,8,62.5
21,US Open,Alexander Popp,2,5,7,28.57
22,US Open,Alexander Zverev,7,5,12,58.330000000000005
23,US Open,Alexandr Dolgopolov,9,7,16,56.25
25,US Open,Aljaz Bedene,3,6,9,33.33
27,US Open,Andre Agassi,28,7,35,80.0
30,US Open,Andreas Beck,3,4,7,42.86
31,US Open,Andreas Haider Maurer,2,6,8,25.0
32,US Open,Andreas Seppi,10,16,26,38.46
34,US Open,Andrei Pavel,8,7,15,53.33
37,US Open,Andrey Golubev,1,5,6,16.669999999999998
38,US Open,Andrey Kuznetsov,4,4,8,50.0
39,US Open,Andrey Rublev,7,4,11,63.63999999999999
40,US Open,Andy Murray,45,12,57,78.95
41,US Open,Andy Roddick,43,12,55,78.18
43,US Open,Antony Dupuis,2,4,6,33.33
44,US Open,Arnaud Clement,17,10,27,62.96000000000001
47,US Open,Benjamin Becker,5,9,14,35.709999999999994
48,US Open,Benoit Paire,10,9,19,52.629999999999995
49,US Open,Bernard Tomic,6,6,12,50.0
51,US Open,Bjorn Phau,4,8,12,33.33
53,US Open,Bobby Reynolds,1,6,7,14.29
55,US Open,Borna Coric,7,5,12,58.330000000000005
56,US Open,Bradley Klahn,3,6,9,33.33
57,US Open,Brian Baker,2,6,8,25.0
60,US Open,Carlos Berlocq,2,9,11,18.18
61,US Open,Carlos Moya,19,9,28,67.86
64,US Open,Cedrik Marcel Stebe,3,3,6,50.0
68,US Open,Christophe Rochus,1,6,7,14.29
69,US Open,Cyril Saulnier,3,5,8,37.5
70,US Open,Damir Dzumhur,4,6,10,40.0
72,US Open,Daniel Evans,6,3,9,66.67
73,US Open,Daniel Gimeno Traver,2,7,9,22.220000000000002
76,US Open,Daniil Medvedev,8,3,11,72.72999999999999
77,US Open,David Ferrer,32,16,48,66.67
78,US Open,David Goffin,13,8,21,61.9
79,US Open,David Nalbandian,21,10,31,67.74
80,US Open,David Sanchez,1,5,6,16.669999999999998
81,US Open,Davide Sanguinetti,5,7,12,41.67
82,US Open,Denis Istomin,8,10,18,44.440000000000005
83,US Open,Denis Kudla,4,6,10,40.0
84,US Open,Denis Shapovalov,7,3,10,70.0
88,US Open,Diego Sebastian Schwartzman,11,6,17,64.71000000000001
89,US Open,Dmitry Tursunov,10,12,22,45.45
90,US Open,Dominic Thiem,15,6,21,71.43
91,US Open,Dominik Hrbaty,14,9,23,60.870000000000005
93,US Open,Donald Young,10,14,24,41.67
94,US Open,Dudi Sela,6,10,16,37.5
95,US Open,Dusan Lajovic,3,5,8,37.5
96,US Open,Dustin Brown,2,5,7,28.57
97,US Open,Edouard Roger Vasselin,1,5,6,16.669999999999998
101,US Open,Ernests Gulbis,8,10,18,44.440000000000005
102,US Open,Evgeny Donskoy,4,7,11,36.36
104,US Open,Fabio Fognini,9,12,21,42.86
105,US Open,Fabrice Santoro,6,10,16,37.5
106,US Open,Federico Delbonis,2,5,7,28.57
107,US Open,Feliciano Lopez,28,18,46,60.870000000000005
109,US Open,Fernando Gonzalez,18,11,29,62.07
111,US Open,Fernando Verdasco,30,17,47,63.83
112,US Open,Fernando Vicente,3,5,8,37.5
114,US Open,Filippo Volandri,1,8,9,11.110000000000001
115,US Open,Flavio Cipolla,4,4,8,50.0
116,US Open,Flavio Saretta,2,4,6,33.33
117,US Open,Florent Serra,5,8,13,38.46
118,US Open,Florian Mayer,7,12,19,36.84
119,US Open,Frances Tiafoe,2,5,7,28.57
121,US Open,Frank Dancevic,1,5,6,16.669999999999998
122,US Open,Gael Monfils,29,13,42,69.05
125,US Open,Gaston Gaudio,5,7,12,41.67
128,US Open,Gilles Muller,10,10,20,50.0
129,US Open,Gilles Simon,19,13,32,59.38
132,US Open,Greg Rusedski,5,7,12,41.67
136,US Open,Grigor Dimitrov,12,9,21,57.14
137,US Open,Guido Pella,4,7,11,36.36
139,US Open,Guillermo Canas,4,4,8,50.0
140,US Open,Guillermo Coria,10,4,14,71.43
141,US Open,Guillermo Garcia Lopez,8,13,21,38.1
142,US Open,Gustavo Kuerten,8,6,14,57.14
146,US Open,Hicham Arazi,7,5,12,58.330000000000005
147,US Open,Horacio Zeballos,2,6,8,25.0
150,US Open,Hyeon Chung,5,4,9,55.559999999999995
151,US Open,Hyung Taik Lee,10,9,19,52.629999999999995
152,US Open,Igor Andreev,6,8,14,42.86
153,US Open,Igor Kunitsyn,3,6,9,33.33
155,US Open,Illya Marchenko,5,4,9,55.559999999999995
156,US Open,Ivan Dodig,4,6,10,40.0
157,US Open,Ivan Ljubicic,8,11,19,42.11
160,US Open,Ivo Karlovic,13,15,28,46.43
163,US Open,Jack Sock,10,10,20,50.0
164,US Open,James Blake,25,12,37,67.57
167,US Open,Jan Hernych,2,4,6,33.33
168,US Open,Jan Lennard Struff,4,6,10,40.0
169,US Open,Jan Michael Gambill,8,6,14,57.14
172,US Open,Janko Tipsarevic,15,14,29,51.72
173,US Open,Jared Donaldson,3,4,7,42.86
174,US Open,Jarkko Nieminen,10,14,24,41.67
178,US Open,Jean Rene Lisnard,3,3,6,50.0
181,US Open,Jeremy Chardy,12,11,23,52.17
182,US Open,Jerome Golmard,4,4,8,50.0
183,US Open,Jerzy Janowicz,1,5,6,16.669999999999998
187,US Open,Jiri Novak,15,6,21,71.43
188,US Open,Jiri Vanek,1,6,7,14.29
189,US Open,Jiri Vesely,3,5,8,37.5
190,US Open,Jo Wilfried Tsonga,24,10,34,70.59
191,US Open,Joachim Johansson,5,2,7,71.43
192,US Open,Joao Sousa,8,7,15,53.33
193,US Open,John Isner,30,13,43,69.77
194,US Open,John Millman,6,5,11,54.55
195,US Open,John Van Lottum,2,4,6,33.33
196,US Open,Jonas Bjorkman,8,8,16,50.0
197,US Open,Jordan Thompson,2,4,6,33.33
198,US Open,Jose Acasuso,5,9,14,35.709999999999994
200,US Open,Juan Carlos Ferrero,23,11,34,67.65
201,US Open,Juan Ignacio Chela,13,10,23,56.52
203,US Open,Juan Martin Del Potro,35,9,44,79.55
204,US Open,Juan Monaco,6,12,18,33.33
205,US Open,Julien Benneteau,10,14,24,41.67
207,US Open,Jurgen Melzer,13,14,27,48.15
209,US Open,Justin Gimelstob,4,7,11,36.36
211,US Open,Karen Khachanov,3,4,7,42.86
213,US Open,Karol Beck,3,6,9,33.33
214,US Open,Karol Kucera,5,5,10,50.0
215,US Open,Kei Nishikori,25,10,35,71.43
216,US Open,Kenneth Carlsen,2,5,7,28.57
217,US Open,Kevin Anderson,22,9,31,70.97
219,US Open,Kristian Pless,4,5,9,44.440000000000005
220,US Open,Kyle Edmund,5,4,9,55.559999999999995
221,US Open,Lars Burgsmuller,1,5,6,16.669999999999998
223,US Open,Leonardo Mayer,8,9,17,47.06
224,US Open,Lleyton Hewitt,45,13,58,77.59
226,US Open,Lucas Pouille,10,5,15,66.67
227,US Open,Luis Horna,2,7,9,22.220000000000002
228,US Open,Lukas Rosol,1,6,7,14.29
229,US Open,Lukasz Kubot,2,4,6,33.33
230,US Open,Magnus Norman,3,3,6,50.0
231,US Open,Malek Jaziri,2,6,8,25.0
232,US Open,Marat Safin,18,7,25,72.0
233,US Open,Marc Gicquel,4,6,10,40.0
235,US Open,Marcel Granollers,12,11,23,52.17
236,US Open,Marcelo Rios,6,3,9,66.67
237,US Open,Marco Chiudinelli,6,5,11,54.55
238,US Open,Marcos Baghdatis,9,13,22,40.910000000000004
