,tournament,fullname,Count_Win,Count_Lose,total_play,perc_win
1,Wimbledon,Adrian Mannarino,13,9,22,59.089999999999996
3,Wimbledon,Agustin Calleri,4,7,11,36.36
5,Wimbledon,Albert Montanes,6,13,19,31.580000000000002
6,Wimbledon,Albert Portas,2,5,7,28.57
7,Wimbledon,Albert Ramos,5,7,12,41.67
8,Wimbledon,Alberto Martin,3,8,11,27.27
9,Wimbledon,Alejandro Falla,5,11,16,31.25
15,Wimbledon,Alexander Peya,1,5,6,16.669999999999998
16,Wimbledon,Alexander Popp,13,4,17,76.47
18,Wimbledon,Alexander Zverev,8,5,13,61.53999999999999
19,Wimbledon,Alexandr Dolgopolov,8,8,16,50.0
21,Wimbledon,Aljaz Bedene,4,7,11,36.36
23,Wimbledon,Andre Agassi,16,5,21,76.19
24,Wimbledon,Andre Sa,5,5,10,50.0
26,Wimbledon,Andreas Haider Maurer,2,5,7,28.57
27,Wimbledon,Andreas Seppi,17,15,32,53.12
29,Wimbledon,Andrei Pavel,8,8,16,50.0
31,Wimbledon,Andrey Kuznetsov,5,6,11,45.45
33,Wimbledon,Andy Murray,57,10,67,85.07000000000001
34,Wimbledon,Andy Roddick,41,12,53,77.36
36,Wimbledon,Antony Dupuis,2,5,7,28.57
37,Wimbledon,Arnaud Clement,15,12,27,55.559999999999995
39,Wimbledon,Arvind Parmar,2,5,7,28.57
41,Wimbledon,Benjamin Becker,7,10,17,41.18
42,Wimbledon,Benoit Paire,14,9,23,60.870000000000005
43,Wimbledon,Bernard Tomic,14,10,24,58.330000000000005
45,Wimbledon,Blaz Kavcic,1,5,6,16.669999999999998
48,Wimbledon,Bobby Reynolds,3,4,7,42.86
54,Wimbledon,Byron Black,5,2,7,71.43
56,Wimbledon,Carlos Moya,4,4,8,50.0
62,Wimbledon,Christophe Rochus,1,9,10,10.0
64,Wimbledon,Cyril Saulnier,2,5,7,28.57
65,Wimbledon,Damir Dzumhur,3,5,8,37.5
66,Wimbledon,Danai Udomchoke,2,4,6,33.33
67,Wimbledon,Daniel Brands,4,3,7,57.14
68,Wimbledon,Daniel Evans,4,5,9,44.440000000000005
69,Wimbledon,Daniel Gimeno Traver,1,6,7,14.29
71,Wimbledon,Daniele Bracciali,4,3,7,57.14
72,Wimbledon,Daniil Medvedev,5,3,8,62.5
73,Wimbledon,David Ferrer,28,15,43,65.12
74,Wimbledon,David Goffin,12,7,19,63.160000000000004
75,Wimbledon,David Nalbandian,19,8,27,70.37
76,Wimbledon,David Prinosil,5,2,7,71.43
78,Wimbledon,Davide Sanguinetti,3,8,11,27.27
79,Wimbledon,Denis Istomin,10,11,21,47.620000000000005
80,Wimbledon,Denis Kudla,6,6,12,50.0
84,Wimbledon,Diego Sebastian Schwartzman,3,5,8,37.5
85,Wimbledon,Dmitry Tursunov,13,13,26,50.0
86,Wimbledon,Dominic Thiem,5,6,11,45.45
87,Wimbledon,Dominik Hrbaty,4,9,13,30.769999999999996
89,Wimbledon,Donald Young,2,7,9,22.220000000000002
90,Wimbledon,Dudi Sela,6,10,16,37.5
91,Wimbledon,Dusan Lajovic,2,6,8,25.0
92,Wimbledon,Dustin Brown,6,7,13,46.150000000000006
93,Wimbledon,Edouard Roger Vasselin,4,8,12,33.33
94,Wimbledon,Ernests Gulbis,11,12,23,47.83
96,Wimbledon,Fabio Fognini,14,11,25,56.00000000000001
97,Wimbledon,Fabrice Santoro,10,10,20,50.0
98,Wimbledon,Feliciano Lopez,34,18,52,65.38000000000001
100,Wimbledon,Felix Mantilla,2,5,7,28.57
101,Wimbledon,Fernando Gonzalez,16,9,25,64.0
103,Wimbledon,Fernando Verdasco,25,17,42,59.519999999999996
104,Wimbledon,Filippo Volandri,1,9,10,10.0
105,Wimbledon,Flavio Saretta,4,4,8,50.0
106,Wimbledon,Florent Serra,4,7,11,36.36
107,Wimbledon,Florian Mayer,16,12,28,57.14
108,Wimbledon,Frances Tiafoe,3,3,6,50.0
110,Wimbledon,Frank Dancevic,3,6,9,33.33
112,Wimbledon,Gael Monfils,16,11,27,59.260000000000005
113,Wimbledon,Gaston Gaudio,2,5,7,28.57
117,Wimbledon,Gilles Elseneer,3,3,6,50.0
118,Wimbledon,Gilles Muller,12,11,23,52.17
119,Wimbledon,Gilles Simon,22,14,36,61.11
120,Wimbledon,Go Soeda,2,5,7,28.57
121,Wimbledon,Goran Ivanisevic,9,2,11,81.82000000000001
122,Wimbledon,Greg Rusedski,9,7,16,56.25
123,Wimbledon,Grega Zemlja,4,4,8,50.0
126,Wimbledon,Grigor Dimitrov,15,10,25,60.0
127,Wimbledon,Guido Pella,6,4,10,60.0
129,Wimbledon,Guillermo Canas,7,7,14,50.0
130,Wimbledon,Guillermo Coria,4,4,8,50.0
131,Wimbledon,Guillermo Garcia Lopez,8,13,21,38.1
134,Wimbledon,Hicham Arazi,6,5,11,54.55
135,Wimbledon,Horacio Zeballos,1,6,7,14.29
137,Wimbledon,Hyung Taik Lee,5,7,12,41.67
138,Wimbledon,Igor Andreev,9,9,18,50.0
139,Wimbledon,Igor Kunitsyn,3,8,11,27.27
140,Wimbledon,Igor Sijsling,2,5,7,28.57
144,Wimbledon,Irakli Labadze,5,4,9,55.559999999999995
